nombre,nombre_sin_acentos
Kelsie,Kelsie
Kenya,Kenya
Keren,Keren
Keyla,Keyla
Kristen,Kristen
La elegida,La elegida
Laboriosa,Laboriosa
Laia,Laia
Lara,Lara
Larisa,Larisa
Laura,Laura
Lea,Lea
Leire,Leire
Lena,Lena
Leona,Leona
Leonor,Leonor
Leonora,Leonora
Leticia,Leticia
Letizia,Letizia
Leyla,Leyla
Lía,Lia
Libia,Libia
Lidia,Lidia
Lili,Lili
Lilia,Lilia
Liliana,Liliana
Lilith,Lilith
Lily,Lily
Lina,Lina
Lionetta,Lionetta
Lis,Lis
Lisa,Lisa
Lisbeth,Lisbeth
Liv,Liv
Llora,Llora
Llúcia,Llucia
Lola,Lola
Lorena,Lorena
Lúa,Lua
Luana,Luana
Lucía,Lucia
Luciana,Luciana
Lucrecia,Lucrecia
Luisa,Luisa
Lula,Lula
Luna,Luna
Luz,Luz
Maddi,Maddi
Mae,Mae
Mafalda,Mafalda
Magalí,Magali
Magdalena,Magdalena
Maia,Maia
Maite,Maite
Malen,Malen
Mallory,Mallory
Manuela,Manuela
Mar,Mar
Mara,Mara
Margarida,Margarida
Margarita,Margarita
María,Maria
María José,Maria Jose
Marian,Marian
Mariana,Mariana
Mariella,Mariella
Marina,Marina
Marisol,Marisol
Marta,Marta
Martina,Martina
Masha,Masha
Masiel,Masiel
Matilda,Matilda
Matilde,Matilde
Maya,Maya
Melisa,Melisa
Mensajera,Mensajera
Mercedes,Mercedes
Meredith,Meredith
Mía,Mia
Micaela,Micaela
Michelle,Michelle
Midge,Midge
Mikela,Mikela
Mila,Mila
Milán,Milan
Milena,Milena
Mina,Mina
Miraella,Miraella
Miriam,Miriam
Moira,Moira
Mónica,Monica
Montserrat,Montserrat
Nadia,Nadia
Nagore,Nagore
Nahia,Nahia
Nancy,Nancy
Naomi,Naomi
Narel,Narel
Naroa,Naroa
Natacha,Natacha
Natalia,Natalia
Nélida,Nelida
Nerea,Nerea
Neus,Neus
Nía,Nia
Nicole,Nicole
Nicoletta,Nicoletta
Nit,Nit
Noa,Noa
Noemí,Noemi
Nora,Nora
Nuria,Nuria
Núria,Nuria
Ñeca,Neca
Ñeves,Neves
Odelia,Odelia
Ofelia,Ofelia
Olaya,Olaya
Olga,Olga
Olimpia,Olimpia
Olivia,Olivia
Ona,Ona
Onal,Onal
Padre,Padre
Pamela,Pamela
Pandora,Pandora
Paola,Paola
París,Paris
Patricia,Patricia
Pau,Pau
Paula,Paula
Paulina,Paulina
Paz,Paz
Pearl,Pearl
Penny,Penny
Pepa,Pepa
Pía,Pia
Pilar,Pilar
Piper,Piper
Poderosa,Poderosa
Primrose,Primrose
Protección,Proteccion
Prue,Prue
Qadira,Qadira
Quela,Quela
Quirina,Quirina
Rafaela,Rafaela
Rafaella,Rafaella
Rania,Rania
Raquel,Raquel
Raven,Raven
Rebeca,Rebeca
Regina,Regina
Reka,Reka
Remei,Remei
Renata,Renata
Reyna,Reyna
Rita,Rita
Robin,Robin
Rocío,Rocio
Rosa,Rosa
Rosalba,Rosalba
Rosalía,Rosalia
Rosario,Rosario
Roser,Roser
Rue,Rue
Saba,Saba
Sabrina,Sabrina
Salomé,Salome
Salud,Salud
Sam,Sam
Samanta,Samanta
Samantha,Samantha
Sammanta,Sammanta
Sammantha,Sammantha
Sandra,Sandra
Santa,Santa
Saoirse,Saoirse
Sara,Sara
Sarabe,Sarabe
Saya,Saya
Selene,Selene
Selma,Selma
Serafina,Serafina
Shayla,Shayla
Shirley,Shirley
Sía,Sia
Silvia,Silvia
Sira,Sira
Sirena,Sirena
Sofía,Sofia
Sol,Sol
Soledad,Soledad
Sonia,Sonia
Sophia,Sophia
Sora,Sora
Stefanía,Stefania
Stella,Stella
Sua,Sua
Sue,Sue
Susana,Susana
Tabita,Tabita
Tamara,Tamara
Tania,Tania
Tara,Tara
Tariexa,Tariexa
Tatiana,Tatiana
Tea,Tea
Teresa,Teresa
Thais,Thais
Tiberia,Tiberia
Toni,Toni
Triana,Triana
Trindade,Trindade
Trinidad,Trinidad
Trinitat,Trinitat
Tulia,Tulia
Uda,Uda
Ula,Ula
Urzuri,Urzuri
Uxía,Uxia
Vale,Vale
Valentía,Valentia
Valentina,Valentina
Valeria,Valeria
Vanesa,Vanesa
Vega,Vega
Vera,Vera
Verónica,Veronica
Victoria,Victoria
Victoriosa,Victoriosa
Vilma,Vilma
Violetta,Violetta
Virginia,Virginia
Viril,Viril
Virxinia,Virxinia
Vivian,Vivian
Viviana,Viviana
Wendy,Wendy
Winona,Winona
Xana,Xana
Xandra,Xandra
Xema,Xema
Xénia,Xenia
Xia,Xia
Xiana,Xiana
Ximena,Ximena
Xisela,Xisela
Xoana,Xoana
Xohana,Xohana
Xusta,Xusta
Yael,Yael
Yanai,Yanai
Yanara,Yanara
Yara,Yara
Yeni,Yeni
Yvonne,Yvonne
Zara,Zara
Zaria,Zaria
Zeltia,Zeltia
Zena,Zena
Zia,Zia
Zoe,Zoe
Zoey,Zoey
Zoila,Zoila
Zoraida,Zoraida
Zorione,Zorione
Zuri,Zuri
Zuria,Zuria
Zuzene,Zuzene
